species_id,recorded_species_name,species_name,taxon,reporting_name,phylum,class_,order,family,genus,common_name,range,frequency,abundance,max_length,common_family_name,common_class_name,common_phylum_name,superseded_ids,superseded_names,geom,mapped_id,mapped_superseded_ids
78,Bovichtus angustifrons,Bovichtus angustifrons,Bovichtus angustifrons,Bovichtus angustifrons,Chordata,Actinopterygii,Perciformes,Bovichtidae,Bovichtus,Dragonet,396.3587,20.6039,1.4762,28,,Ray-finned fishes,Chordates,,,POINT (0 0),68,
79,Forsterygion varium,Forsterygion varium,Forsterygion varium,Forsterygion varium,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Forsterygion,Many-rayed threefin,1225.8027,29.3578,7.804,13,Triplefins,Ray-finned fishes,Chordates,,,POINT (0 0),69,
81,Cristiceps australis,Cristiceps australis,Cristiceps australis,Cristiceps australis,Chordata,Actinopterygii,Perciformes,Clinidae,Cristiceps,Crested weedfish,683.6426,5.2851,1.1444,18,kelp blennies,Ray-finned fishes,Chordates,,,POINT (0 0),71,
82,Heteroclinus tristis,Heteroclinus tristis,Heteroclinus tristis,Heteroclinus tristis,Chordata,Actinopterygii,Perciformes,Clinidae,Heteroclinus,Forsters weedfish,561.8556,10.323,1.1276,30,kelp blennies,Ray-finned fishes,Chordates,,,POINT (0 0),72,
83,Heteroclinus johnstoni,Heteroclinus johnstoni,Heteroclinus johnstoni,Heteroclinus johnstoni,Chordata,Actinopterygii,Perciformes,Clinidae,Heteroclinus,Johnstons weedfish,480.1767,20.749,1.6949,40,kelp blennies,Ray-finned fishes,Chordates,,,POINT (0 0),73,
84,Heteroclinus perspicillatus,Heteroclinus perspicillatus,Heteroclinus perspicillatus,Heteroclinus perspicillatus,Chordata,Actinopterygii,Perciformes,Clinidae,Heteroclinus,Common weedfish,519.8065,9.5754,1.8022,20,kelp blennies,Ray-finned fishes,Chordates,,,POINT (0 0),74,
85,Parablennius tasmanianus,Parablennius tasmanianus,Parablennius tasmanianus,Parablennius tasmanianus,Chordata,Actinopterygii,Perciformes,Blenniidae,Parablennius,Tasmanian blenny,607.9217,9.9069,4.2066,13,Blennies,Ray-finned fishes,Chordates,,,POINT (0 0),75,
86,Callogobius mucosus,Callogobius mucosus,Callogobius mucosus,Callogobius mucosus,Chordata,Actinopterygii,Perciformes,Gobiidae,Callogobius,Sculptured goby,1282.433,0.519,1.6667,11,Gobies,Ray-finned fishes,Chordates,,,POINT (0 0),76,
88,Seriolella brama,Seriolella brama,Seriolella brama,Seriolella brama,Chordata,Actinopterygii,Perciformes,Centrolophidae,Seriolella,Snotty-nose trevally,219.1055,2.1912,65.8125,76,medusafishes,Ray-finned fishes,Chordates,,,POINT (0 0),78,
89,Aspasmogaster tasmaniensis,Aspasmogaster tasmaniensis,Aspasmogaster tasmaniensis,Aspasmogaster tasmaniensis,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Aspasmogaster,Tasmanian clingfish,428.704,2.3675,1.48,8,Clingfishes,Ray-finned fishes,Chordates,,,POINT (0 0),79,
90,Creocele cardinalis,Creocele cardinalis,Creocele cardinalis,Creocele cardinalis,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Creocele,Broad clingfish,10,100,1,,Clingfishes,Ray-finned fishes,Chordates,,,POINT (0 0),80,
92,Eocallionymus papilio,Eocallionymus papilio,Eocallionymus papilio,Eocallionymus papilio,Chordata,Actinopterygii,Perciformes,Callionymidae,Eocallionymus,Painted stinkfish,945.5256,12.4408,1.6927,10,Dragonets,Ray-finned fishes,Chordates,,,POINT (0 0),83,
93,Rhombosolea tapirina,Rhombosolea tapirina,Rhombosolea tapirina,Rhombosolea tapirina,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Rhombosolea,Greenback flounder,401.6401,0.8299,1,45,righteye flounders,Ray-finned fishes,Chordates,,,POINT (0 0),84,
94,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Acanthaluteres spilomelanurus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,Bridled leatherjacket,475.9459,7.9538,5.516,14,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),85,
95,Brachaluteres jacksonianus,Brachaluteres jacksonianus,Brachaluteres jacksonianus,Brachaluteres jacksonianus,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Brachaluteres,Pygmy leatherjacket,766.054,17.7622,2.0306,10,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),86,
96,Eubalichthys gunnii,Eubalichthys gunnii,Eubalichthys gunnii,Eubalichthys gunnii,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Eubalichthys,Gunns leatherjacket,646.7336,12.364,1.431,60,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),87,
97,Meuschenia australis,Meuschenia australis,Meuschenia australis,Meuschenia australis,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Brown-striped leatherjacket,247.495,31.1189,1.8815,30,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),88,
98,Meuschenia flavolineata,Meuschenia flavolineata,Meuschenia flavolineata,Meuschenia flavolineata,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Yellow-stripe leatherjacket,1141.8442,22.9098,2.194,30,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),89,
99,Meuschenia freycineti,Meuschenia freycineti,Meuschenia freycineti,Meuschenia freycineti,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Six-spine leatherjacket,707.0512,33.8699,1.8825,60,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),90,
100,Meuschenia hippocrepis,Meuschenia hippocrepis,Meuschenia hippocrepis,Meuschenia hippocrepis,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Horseshoe leatherjacket,1023.7896,42.8692,3.3292,51,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),91,
101,Meuschenia scaber,Meuschenia scaber,Meuschenia scaber,Meuschenia scaber,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Meuschenia,Velvet leatherjacket,1208.1986,18.5701,2.62,31,Leatherjackets,Ray-finned fishes,Chordates,1222,Parika scaber,POINT (0 0),92,1874
102,Acanthaluteres vittiger,Acanthaluteres vittiger,Acanthaluteres vittiger,Acanthaluteres vittiger,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Acanthaluteres,Toothbrush leatherjacket,839.2386,40.3155,6.4302,35,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),93,
103,Thamnaconus degeni,Thamnaconus degeni,Thamnaconus degeni,Thamnaconus degeni,Chordata,Actinopterygii,Tetraodontiformes,Monacanthidae,Thamnaconus,Degens leatherjacket,541.1187,1.7157,1.6071,29,Leatherjackets,Ray-finned fishes,Chordates,,,POINT (0 0),94,
104,Aracana aurita,Aracana aurita,Aracana aurita,Aracana aurita,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Aracana,Shaws cowfish,898.3447,21.3957,1.2727,20,Boxfishes,Ray-finned fishes,Chordates,,,POINT (0 0),95,
105,Aracana ornata,Aracana ornata,Aracana ornata,Aracana ornata,Chordata,Actinopterygii,Tetraodontiformes,Ostraciidae,Aracana,Ornate cowfish,478.6127,5.1648,1.7011,15,Boxfishes,Ray-finned fishes,Chordates,,,POINT (0 0),96,
106,Tetractenos glaber,Tetractenos glaber,Tetractenos glaber,Tetractenos glaber,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Tetractenos,Smooth toadfish,400.8031,10.3834,1.9142,15,Pufferfishes,Ray-finned fishes,Chordates,,,POINT (0 0),97,
107,Diodon nicthemerus,Diodon nicthemerus,Diodon nicthemerus,Diodon nicthemerus,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon,Globe fish,780.3961,32.8408,1.512,40,Porcupinefishes,Ray-finned fishes,Chordates,,,POINT (0 0),98,
108,Arothron firmamentum,Arothron firmamentum,Arothron firmamentum,Arothron firmamentum,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Arothron,Starry toadfish,10,66.6667,1,,Pufferfishes,Ray-finned fishes,Chordates,,,POINT (0 0),100,
109,Aetapcus maculatus,Aetapcus maculatus,Aetapcus maculatus,Aetapcus maculatus,Chordata,Actinopterygii,Scorpaeniformes,Pataecidae,Aetapcus,Warty prowfish,769.1218,7.7258,1.0247,21,Australian prowfishes,Ray-finned fishes,Chordates,,,POINT (0 0),101,
110,Heteroclinus wilsoni,Heteroclinus wilsoni,Heteroclinus wilsoni,Heteroclinus wilsoni,Chordata,Actinopterygii,Perciformes,Clinidae,Heteroclinus,Wilsons weedfish,292.0319,1.9355,1.2727,14,kelp blennies,Ray-finned fishes,Chordates,,,POINT (0 0),103,
111,Latris lineata,Latris lineata,Latris lineata,Latris lineata,Chordata,Actinopterygii,Perciformes,Latridae,Latris,Striped trumpeter,1252.0585,2.0758,1.8,,trumpeters,Ray-finned fishes,Chordates,,,POINT (0 0),104,
112,Parascyllium variolatum,Parascyllium variolatum,Parascyllium variolatum,Parascyllium variolatum,Chordata,Elasmobranchii,Orectolobiformes,Parascylliidae,Parascyllium,Varied catshark,901.1625,8.959,1.1102,91,,Cartilaginous fishes,Chordates,,,POINT (0 0),105,
113,Trianectes bucephalus,Trianectes bucephalus,Trianectes bucephalus,Trianectes bucephalus,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Trianectes,Bighead threefin,464.7648,5.8719,1.12,7,Triplefins,Ray-finned fishes,Chordates,,,POINT (0 0),106,
115,Urolophus paucimaculatus,Urolophus paucimaculatus,Urolophus paucimaculatus,Urolophus paucimaculatus,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae,Urolophus,Sparsely spotted stingaree,757.6771,5.2326,1.4828,57,round stingrays,Cartilaginous fishes,Chordates,,,POINT (0 0),108,
